商品編號,商品名稱,分類,進貨成本,建議售價,目前庫存,最後更新日期
P001,無線藍牙耳機,電子產品,1200,2480,50,2026-03-12
P002,人體工學辦公椅,家具,3500,5800,12,2026-03-10
P003,不鏽鋼保溫瓶,生活用品,300,850,120,2026-03-11
P004,機械鍵盤 (青軸),電腦周邊,1800,3200,25,2026-03-12
P005,全棉直筒牛仔褲,服飾,600,1450,85,2026-03-09
P006,智能運動手錶,電子產品,1500,3990,40,2026-03-12
P007,防潑水電腦後背包,配件,800,1880,65,2026-03-11
P008,手沖咖啡細口壺,廚具,450,1200,30,2026-03-08
P009,便攜式藍牙喇叭,電子產品,900,1980,55,2026-03-12
P010,抗UV摺疊自動傘,生活用品,250,590,200,2026-03-10
P011,陶瓷塗層平底鍋,廚具,700,1680,18,2026-03-07
P012,純棉素色T-Shirt,服飾,150,490,300,2026-03-12
P013,4K 高畫質行車紀錄器,汽車用品,2200,4500,22,2026-03-11
P014,瑜珈鋪巾 (防滑),運動用品,350,880,90,2026-03-10
P015,多功能氣炸鍋,家電,1800,3680,15,2026-03-12
P016,輕量化登山杖,運動用品,600,1500,45,2026-03-09
P017,天然大豆蠟香氛蠟燭,居家生活,280,750,110,2026-03-11
P018,磁吸式行動電源,電子產品,750,1580,75,2026-03-12
P019,速乾吸水運動毛巾,運動用品,120,350,150,2026-03-10
P020,可調式啞鈴組,運動用品,2500,4800,8,2026-03-08
P021,木質手機擴音底座,居家生活,200,550,40,2026-03-11
P022,真空低溫烹調機,家電,2600,4980,10,2026-03-12
P023,加厚版瑜珈墊,運動用品,400,980,60,2026-03-10
P024,超音波電動牙刷,個人護理,1100,2680,35,2026-03-12
P025,抗藍光護目眼鏡,配件,350,990,120,2026-03-11
P026,迷你空氣清淨機,家電,1300,2980,28,2026-03-09
P027,高蛋白營養補充粉,食品,950,1850,100,2026-03-12
P028,手持式掛燙機,家電,850,1980,20,2026-03-10
P029,皮革多功能筆記本,辦公用品,300,780,50,2026-03-11
P030,降噪耳罩式耳機,電子產品,4500,8900,15,2026-03-12
P031,感應式自動洗手機,個人護理,400,950,80,2026-03-09
P032,冷凝式除濕機,家電,5500,9800,6,2026-03-12
P033,戶外野餐防水墊,戶外用品,280,680,45,2026-03-11
P034,日系陶瓷餐盤組,廚具,500,1250,30,2026-03-10
P035,兒童護脊書包,學生用品,1600,3200,25,2026-03-12
P036,USB 暖手寶,電子產品,300,690,140,2026-03-08
P037,便攜式果汁機,家電,650,1480,55,2026-03-11
P038,法式濾壓壺,廚具,380,890,40,2026-03-12
P039,大容量帆布購物袋,配件,100,290,500,2026-03-10
P040,無線垂直滑鼠,電腦周邊,550,1280,38,2026-03-09
P041,極簡風床包四件組,居家生活,1200,2800,20,2026-03-12
P042,專業剪髮工具組,個人護理,900,2100,15,2026-03-11
P043,折疊式筆電散熱架,電腦周邊,250,650,95,2026-03-12
P044,運動型壓力腿套,運動用品,350,850,70,2026-03-10
P045,智慧型感應垃圾桶,居家生活,700,1580,32,2026-03-12
P046,精油擴香儀,居家生活,1100,2400,25,2026-03-09
P047,陶瓷電暖器,家電,950,2200,18,2026-03-11
P048,矽膠密封保鮮袋,生活用品,120,380,250,2026-03-12
P049,多口袋戰術背心,服飾,1400,2980,12,2026-03-08
P050,自動真空封口機,家電,1200,2880,24,2026-03-12
